category,source,date,format,evidence_depth,url,primary_signals
Agency operations,Startup CPG - Ops Spotlight Todd Hoffman COO at Brightland,2025-08-09,podcast full transcript,high,https://startupcpg.transistor.fm/episodes/ops-spotlight-todd-hoffman-coo-brightland/transcript,COO role; omnichannel growth; co-manufacturing; inventory; ERP; retail readiness
Agency operations,Startup CPG - Founder Feature Hannah Perez of SEEQ Supply,2024-09-13,podcast full transcript,high,https://startupcpg.transistor.fm/episodes/founder-feature-hannah-perez-of-seeq-supply/transcript,stockouts; forecasting; inventory planning; cash constraints; founder learning curve
Agency operations,Startup CPG - Ops Spotlight Laura Romano of Graza,2025-10-11,podcast full transcript,high,https://startupcpg.transistor.fm/episodes/ops-spotlight-laura-romano-of-graza/transcript,warehouse ownership; freight; EDI; ERP; retailer onboarding; operational tradeoffs
Packaging operations,Startup CPG - R&D Insights with Matt Craighead at Trubar,2025-12-27,podcast full transcript,high,https://startupcpg.transistor.fm/episodes/operator-spotlight-r-d-insights-with-matt-craighead-r-d-manager-trubar/transcript,pack timing; compatibility; stability; version control; production; alternate ingredients
Agency operations,Startup CPG - Finding Your Co-Man with Lance Schwarzkopf,2025-01-07,podcast full transcript,high,https://startupcpg.transistor.fm/episodes/177-finding-your-co-man-lance-schwarzkopf-of-copack/transcript,specifications; NDA; co-pack agreement; lead times; supplier setup; production audit
Packaging podcasts,unPACKed with PMMI - Bridging Marketing & Operations in the Sustainability Shift,2025-09-24,podcast full transcript,high,https://www.pmmi.org/podcast/bridging-marketing-operations-in-the-sustainability-shift,legacy equipment; sealing; sustainable films; cost; EPR; supply-chain collaboration
Agency operations,Supply Chain Unfiltered - CPG Bulk Products and What to Expect from a 3PL,2026-02-18,podcast metadata,substantial,https://podcasts.apple.com/us/podcast/consumer-packaged-goods-bulk-products-and-what-to/id1875399584?i=1000750372858,3PL RFP; WMS; forecasting; inventory visibility; retailer volatility
Agency operations,Truck Yeah - What CPG Brands Get Wrong About Warehousing,2026-01-20,podcast episode,substantial,https://ziplinelogistics.com/blog/podcast/80-what-cpg-brands-get-wrong-about-warehousing-and-how-to-fix-it/,warehousing; kitting; inventory control; 3PL selection; omnichannel fulfillment
Packaging podcasts,unPACKed with PMMI - Testing the Limits of Sustainable Packaging,2025-05-28,podcast full transcript,high,https://www.pmmi.org/podcast/testing-the-limits-of-sustainable-packaging-how-to-build-the-perfect-package,package testing; barrier performance; material innovation; infrastructure; electronics protection
Wine and spirits,Dolia Talks - The end of wine glass bottles,2025-11-11,podcast full transcript,high,https://getdolia.com/es/resources/podcasts/dolia-talks/episode-4,e-commerce; flat bottles; freight; breakage; carbon; wine preservation
Wine and spirits,Packaging Perspectives - Sustainability in Spirits Packaging,2023-12-13,podcast transcript excerpt,high,https://www.packagingstrategies.com/articles/104327-podcast-sustainability-in-spirits-packaging,lightweighting; consumer transparency; design intelligence; recyclability; operational efficiency
Beauty,L'Oreal circular beauty packaging Q&A,2026-03-31,interview,substantial,https://www.cosmeticsdesign.com/Article/2026/03/31/qa-inside-loreals-strategy-to-scale-circular-beauty-packaging/,design-for-recycling; mono-materials; recycled content; manufacturing; EPR
Beauty,Glossy Beauty Podcast - Inside the world of beauty packaging,2025-10-16,podcast highlights,substantial,https://www.glossy.co/podcasts/the-glossy-beauty-podcast-inside-the-world-of-beauty-packaging/,design research; retail audits; eye tracking; consumer psychology; cost pressure
