topic,agency_parent_theme,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
"Retail buyer readiness, category fit, and expectations",Retail and distribution operations,4,62,283,314,358,307,342,372,360,373,368,437,73
"Wholesale expansion, buyer relationships, and in-store growth",Retail and distribution operations,1,73,275,260,323,252,299,307,302,306,304,305,58
"In-store demos, promotions, and retail velocity",Retail and distribution operations,3,56,251,236,256,226,286,298,222,211,238,230,41
"Amazon, DTC, and retail channel economics",Channel strategy,2,46,198,176,207,180,186,221,200,245,182,183,32
Retailer and distributor onboarding and category management,Retail and distribution operations,1,51,240,198,240,179,205,229,159,215,165,138,33
Regional retail expansion and local-to-national growth,Retail and distribution operations,0,58,194,191,233,166,194,230,149,143,172,184,33
"Co-manufacturer selection, scale-up, process control, and IP",Manufacturing and supplier management,1,30,149,179,164,146,179,184,176,158,159,292,44
Broker selection and channel-sales management,Retail and distribution operations,1,31,107,89,153,111,100,96,207,184,230,193,27
Product development and commercialization support,Manufacturing and supplier management,0,26,89,100,91,88,100,97,114,121,137,231,25
"Co-manufacturer and distributor contracts, liability, and operational risk",Manufacturing and supplier management,0,7,51,51,72,93,82,89,187,117,141,163,34
Inventory planning and demand forecasting,Financial and operational control,1,11,82,78,91,93,60,78,103,154,103,90,15
"Gross margin, unit economics, and financial discipline",Financial and operational control,0,3,35,37,54,76,44,43,153,171,167,142,25
Distributor and DSD contracts and channel execution,Retail and distribution operations,1,16,77,60,108,79,62,82,127,84,65,65,16
"Product, packaging, labeling, and certification requirements",Packaging and compliance,0,16,83,60,89,39,77,66,96,53,72,139,26
Sustainable packaging materials and tradeoffs,Packaging and compliance,0,13,50,71,69,52,76,74,78,73,68,109,17
AI-enabled CPG operations and decision support,Operational technology,1,0,9,28,27,29,36,81,25,44,48,68,5
EDI and retail order automation,Financial and operational control,0,0,17,16,43,15,6,19,17,23,17,8,0
