arm,category,quote,speaker,company,job_title,podcast,episode,url,verification_status
Agency,CPG operations,"What's really important is to be able to look around corners and have an idea of what might be to come.",Todd Hoffman,Brightland,Chief Operating Officer,The Startup CPG Podcast,"Ops Spotlight: Todd Hoffman, COO at Brightland",https://startupcpg.transistor.fm/episodes/ops-spotlight-todd-hoffman-coo-brightland/transcript,full_transcript
Agency,Packaging testing,"They want packaging that they feel good about buying. They want to buy the product that makes them feel good as well.",Joel Fischer,AMETEK MOCON,CTS Scientist & Permeation Lab Manager,unPACKed with PMMI,"Testing the Limits of Sustainable Packaging: How to Build the Perfect Package",https://www.pmmi.org/podcast/testing-the-limits-of-sustainable-packaging-how-to-build-the-perfect-package,full_transcript
Pac,Wine and spirits,"Delivery's a nightmare. If you've got smart men and women around the table together to create packaging, they will not create a round glass bottle.",Santiago Navarro,Packamama,Founder,Dolia Talks,"The end of wine glass bottles, sustainability in the wine industry, and the future of wine e-commerce",https://getdolia.com/es/resources/podcasts/dolia-talks/episode-4,full_transcript
Pac,Wine and spirits,"What we see from the consumers is that they want to have a holistic experience.",Balaji Jayaseelan,Berlin Packaging,Vice President of Sustainability,Packaging Perspectives Podcast,Sustainability in Spirits Packaging,https://www.packagingstrategies.com/articles/104327-podcast-sustainability-in-spirits-packaging,publisher_transcript_excerpt
Agency,Inventory planning,"We were out of stock for at least six months out of those twelve months.",Hannah Perez,SEEQ,Co-Founder,The Startup CPG Podcast,Founder Feature: Hannah Perez of SEEQ Supply,https://startupcpg.transistor.fm/episodes/founder-feature-hannah-perez-of-seeq-supply/transcript,full_transcript
Agency,Operational ownership,"If we're going to do that, this is what it's going to mean. Either this is the timeline... this is the cost.",Laura Romano,Graza,Director of Operations,The Startup CPG Podcast,Ops Spotlight: Laura Romano of Graza,https://startupcpg.transistor.fm/episodes/ops-spotlight-laura-romano-of-graza/transcript,full_transcript
Pac,Packaging change control,"Constant pack changes every month or every quarter gets to be a lot to manage.",Matt Craighead,Trubar,R&D Manager,The Startup CPG Podcast,"Operator Spotlight: R&D Insights with Matt Craighead, R&D Manager Trubar",https://startupcpg.transistor.fm/episodes/operator-spotlight-r-d-insights-with-matt-craighead-r-d-manager-trubar/transcript,full_transcript
Agency,Co-manufacturer selection,"Lead times can really kill your schedule, kill your timeline, because it can vary.",Lance Schwarzkopf,Copack.net,Founder and Principal Consultant,The Startup CPG Podcast,Finding Your Co-Man: Lance Schwarzkopf of Copack,https://startupcpg.transistor.fm/episodes/177-finding-your-co-man-lance-schwarzkopf-of-copack/transcript,full_transcript
Pac,Sustainable packaging manufacturability,"When you switch to a different material... getting that to seal properly on legacy equipment" can be the challenge.,Greg Berguig,PAC Machinery,President,unPACKed with PMMI,Bridging Marketing & Operations in the Sustainability Shift,https://www.pmmi.org/podcast/bridging-marketing-operations-in-the-sustainability-shift,full_transcript
Agency,Consumer electronics retail,"I became a very, very large retail buyer in the hardware space in Consumer Electronics where I saw the good, the bad, ugly how brands not just sell to retail, but also work with retailers.",Yohan Jacob,Retailbound,Founder and President,TRADEOFFS: The Hardware Startup Podcast,T-25-006: Consumer Electronics Buyer to Retail Channel Product Launcher,https://tradeoffs.fm/6/transcript,full_transcript
Pac,Luxury ecommerce,"The packaging is the most direct communication that a brand's going to have to speak to that consumer besides the product itself.",Evelio Mattos,Design Packaging,Founder and Creative Director,A Branded World,Delivering a Beautiful Experience with Evelio Mattos,https://marcastrategy.com/podcast_files/023/ABrandedWorld_023_ShowTranscript.pdf,full_transcript
Agency,Beauty wholesale operations,"The way we had to think about inventory planning and demand planning, radically different.",Sergio Tache,Dossier,Co-Founder,The Startup CPG Podcast,How Dossier Disrupted the Fragrance Industry,https://startupcpg.transistor.fm/episodes/258-how-dossier-disrupted-the-fragrances-industry/transcript,full_transcript
Pac,Fragrance packaging strategy,"We use the same bottles, the same pumps, the same caps for all our SKUs. So that way you can order in bulk.",Sergio Tache,Dossier,Co-Founder,The Startup CPG Podcast,How Dossier Disrupted the Fragrance Industry,https://startupcpg.transistor.fm/episodes/258-how-dossier-disrupted-the-fragrances-industry/transcript,full_transcript
Agency,Consumer hardware operations,"You need to commit to inventory and you need to be ordering your product to be produced six months to a year out.",Nate Kraft,Kraftful,Co-Founder and CEO,TRADEOFFS: The Hardware Startup Podcast,Lessons from a Recovering Hardware Founder,https://tradeoffs.fm/14/transcript,full_transcript
Agency,Supplier resilience,"A hardware company can live or die based on supplier relationships.",Brian Chen,TechCompliance,Co-Founder and CEO,TRADEOFFS: The Hardware Startup Podcast,Lessons from a Recovering Hardware Founder,https://tradeoffs.fm/14/transcript,full_transcript
Pac,Circular wine and spirits packaging,"The shift towards a circular economy necessitates behavioral changes at every stage of the supply chain.",Iain McPherson,ecoSPIRITS,Sales Director Europe Middle East and Africa,Green New Perspective,ecoSPIRITS: Pioneering Sustainable Beverage Packaging Tech,https://www.npws.net/podcast/sustainable-spirits-technology,publisher_transcript
