source_type,topic,mentions,role_note
podcast_notes,Sustainable materials and lifecycle tradeoffs,24,Source-level role; speaker role not consistently available
article,"Packaging design, brand identity, and unboxing",24,Source-level role; speaker role not consistently available
podcast_notes,"Retail fit, category cues, and consumer conversion",23,Source-level role; speaker role not consistently available
editorial,Sustainable materials and lifecycle tradeoffs,22,Source-level role; speaker role not consistently available
editorial,"Retail fit, category cues, and consumer conversion",21,Source-level role; speaker role not consistently available
editorial,"Packaging design, brand identity, and unboxing",21,Source-level role; speaker role not consistently available
article,"Retail fit, category cues, and consumer conversion",20,Source-level role; speaker role not consistently available
podcast_transcript,"Packaging design, brand identity, and unboxing",19,Source-level role; speaker role not consistently available
article,Sustainable materials and lifecycle tradeoffs,18,Source-level role; speaker role not consistently available
podcast_notes,"Packaging design, brand identity, and unboxing",17,Source-level role; speaker role not consistently available
editorial,"Circularity, refill, reuse, and recovery systems",16,Source-level role; speaker role not consistently available
podcast_transcript,"Retail fit, category cues, and consumer conversion",16,Source-level role; speaker role not consistently available
podcast_notes,"Claims, regulation, and packaging compliance",13,Source-level role; speaker role not consistently available
podcast_summary,"Retail fit, category cues, and consumer conversion",12,Source-level role; speaker role not consistently available
podcast_summary,"Packaging design, brand identity, and unboxing",12,Source-level role; speaker role not consistently available
article,"Manufacturing, sourcing, cost, and scale",12,Source-level role; speaker role not consistently available
podcast_notes,"Circularity, refill, reuse, and recovery systems",11,Source-level role; speaker role not consistently available
podcast_transcript,Sustainable materials and lifecycle tradeoffs,11,Source-level role; speaker role not consistently available
podcast_notes,"Manufacturing, sourcing, cost, and scale",9,Source-level role; speaker role not consistently available
podcast_summary,Sustainable materials and lifecycle tradeoffs,9,Source-level role; speaker role not consistently available
podcast_transcript,"Manufacturing, sourcing, cost, and scale",9,Source-level role; speaker role not consistently available
article,"Claims, regulation, and packaging compliance",7,Source-level role; speaker role not consistently available
article,"Circularity, refill, reuse, and recovery systems",6,Source-level role; speaker role not consistently available
podcast_summary,"Circularity, refill, reuse, and recovery systems",5,Source-level role; speaker role not consistently available
editorial,"Claims, regulation, and packaging compliance",5,Source-level role; speaker role not consistently available
podcast_transcript,"Claims, regulation, and packaging compliance",5,Source-level role; speaker role not consistently available
podcast_summary,"Claims, regulation, and packaging compliance",4,Source-level role; speaker role not consistently available
podcast_transcript,"Circularity, refill, reuse, and recovery systems",4,Source-level role; speaker role not consistently available
editorial,"Manufacturing, sourcing, cost, and scale",3,Source-level role; speaker role not consistently available
