sentence,topic,speaker,is_host,source_title,date,quote_type,public_use_suitable
"We had a short experience with Petco, which we found a little difficult to distinguish ourselves and just kind of get a our brand out in what I call a bit of a skew fest","Wholesale expansion, buyer relationships, and in-store growth",Cam Mathias,False,Founder Feature: Cam Mathias of Huntaway,2024-08-16T07:00:00.000Z,pain_language,requires_verification
"You know, it's very hard to differentiate yourself against some of the biggest consumer brands in the world","Wholesale expansion, buyer relationships, and in-store growth",Cam Mathias,False,Founder Feature: Cam Mathias of Huntaway,2024-08-16T07:00:00.000Z,pain_language,requires_verification
So it became kind of clear to us that they were an outsourced operations outfit and they were just brokering this deal for us,"Co-manufacturer selection, scale-up, process control, and IP",Katherine Harvey,False,"#162 - Ops Nightmares, Powered by Crstl",2024-09-24T07:00:00.000Z,pain_language,requires_verification
And who introduced you to this master co man broker again,"Co-manufacturer and distributor contracts, liability, and operational risk",Katherine Harvey,False,"#162 - Ops Nightmares, Powered by Crstl",2024-09-24T07:00:00.000Z,pain_language,requires_verification
And would you care to tell us about your ops nightmare,Sustainable packaging materials and tradeoffs,Brady DeLong,False,"#162 - Ops Nightmares, Powered by Crstl",2024-09-24T07:00:00.000Z,pain_language,requires_verification
So we've had several brands come to us because of Ops nightmares,"Retail buyer readiness, category fit, and expectations",Teva Vogelstein,False,"#162 - Ops Nightmares, Powered by Crstl",2024-09-24T07:00:00.000Z,pain_language,requires_verification
"Designed to eliminate workflow bottlenecks and drive growth for your brand, Crystal offers a user friendly platform that seamlessly connects you to a vast network of retailers, distributors, and tools you need to run your business","Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,"#162 - Ops Nightmares, Powered by Crstl",2024-09-24T07:00:00.000Z,pain_language,requires_verification
"So for our next production run in July, we'll be able to set up D2C with hopefully no Broken bottles","Retail buyer readiness, category fit, and expectations",Fane He,False,Founder Feature - Fane He and Kyle Nguyen of  The Lucky Ox,2025-06-20T07:00:00.000Z,pain_language,requires_verification
"So, I mean, do you feel like that is a typical process where it would be me just talking to my brokers, talking to my salespeople, doing a bottoms up forecast at each retailer and distributor, really trying to have as close of a sense we could for what the forecast is going to be, even just for the ","Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,#218 - Forecasting 101 with Graza & Drivepoint,2025-10-14T07:00:00.000Z,pain_language,requires_verification
I love talking to early stage founders and sort of helping them get on the right path with this stuff so that we don't have to make those mistakes in the early days,"Wholesale expansion, buyer relationships, and in-store growth",Austin Gardner-Smith,False,#218 - Forecasting 101 with Graza & Drivepoint,2025-10-14T07:00:00.000Z,pain_language,requires_verification
"Obviously hard to do that as a small brand where you're just really even trying to like get a promotion to actually happen and be planned, but you're","Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,#224 - The Rise of Neuro Gum with Kent Yoshimura,2025-11-25T08:00:00.000Z,pain_language,requires_verification
"But like checkout, I was always really interested in just how competitive and expensive checkout is","Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,#224 - The Rise of Neuro Gum with Kent Yoshimura,2025-11-25T08:00:00.000Z,pain_language,requires_verification
And we just gathered around that frustration and this disconnection with beauty standards that we felt,"Retail buyer readiness, category fit, and expectations",Veena Krishnan,False,Founder Feature: Veena Krishnan and Whitney McElwain of Daybird,2024-08-10T01:11:34.000Z,pain_language,requires_verification
"So we're not immune to the challenges that every other brand, you know, that we hear about other brands going through","Retail buyer readiness, category fit, and expectations",Veena Krishnan,False,Founder Feature: Veena Krishnan and Whitney McElwain of Daybird,2024-08-10T01:11:34.000Z,pain_language,requires_verification
"It's easy to get on the shelf, it's hard to stay on the shelf","Wholesale expansion, buyer relationships, and in-store growth",Veena Krishnan,False,Founder Feature: Veena Krishnan and Whitney McElwain of Daybird,2024-08-10T01:11:34.000Z,pain_language,requires_verification
"There have been several shop brands over the years and I think some have been challenged by, you know, the fact tha",Regional retail expansion and local-to-national growth,Alex Malamatinas,False,"#155 - The Beverage Investors: Salle Jian, Alex Malamatinas, Brandon Yahn and Connor McKenna",2024-08-06T07:00:00.000Z,pain_language,requires_verification
"Because otherwise it turns out to be extremely expensive because of the expectation of having promotional calendars and investing on their marketing or whatever it is, you know","Wholesale expansion, buyer relationships, and in-store growth",Maria Covarrubia,False,Founder Feature: Maria Covarrubias of Cien Chiles,2024-06-21T07:00:00.000Z,pain_language,requires_verification
"So for us, a focus moving forward and like closing thi","Wholesale expansion, buyer relationships, and in-store growth",Maria Covarrubia,False,Founder Feature: Maria Covarrubias of Cien Chiles,2024-06-21T07:00:00.000Z,pain_language,requires_verification
"But the challenge that we have then is like, well, what even is your category","Co-manufacturer selection, scale-up, process control, and IP",Michael Brandt,False,#229 - The Rise of Ketone IQ: Creating a New Energy Category with Michael Brandt,2025-12-30T08:00:00.000Z,pain_language,requires_verification
"And I assume you probably have pretty good margins at this point to be able to do that because obviously it is Expensive to give people a free product at the retail price, not just your cost","Wholesale expansion, buyer relationships, and in-store growth",Michael Brandt,False,#229 - The Rise of Ketone IQ: Creating a New Energy Category with Michael Brandt,2025-12-30T08:00:00.000Z,pain_language,requires_verification
I'm in a lot of the sales meetings and doing marketing and brand and some painful stuff that's administrative or legal,"Co-manufacturer selection, scale-up, process control, and IP",Jesse Konig,False,"Founder Fundraising Journey: Jesse Konig, CEO & Co-Founder of Jesse & Ben's",2026-02-28T08:00:00.000Z,pain_language,requires_verification
"And I think it's something about like, if you're not a total pro on wine, it's hard to know","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#202 - Buyer Spotlight: Total Wine & More,2025-06-24T07:00:00.000Z,pain_language,requires_verification
"And so you see in our business, I think you see people making mistakes like this all the time, especially with like legacy brands where they might say, oh, it's time for a revamp and not really understanding your demographic or trying to move from one demographic that you've","Retail buyer readiness, category fit, and expectations",Michael Lowry,False,#202 - Buyer Spotlight: Total Wine & More,2025-06-24T07:00:00.000Z,pain_language,requires_verification
"And so you should never fail to bring product to us that is great product, regardless of how much you're making","Co-manufacturer selection, scale-up, process control, and IP",Michael Lowry,False,#202 - Buyer Spotlight: Total Wine & More,2025-06-24T07:00:00.000Z,pain_language,requires_verification
"But in consumer it's like problem one, make sure it works","Retail buyer readiness, category fit, and expectations",Hannah Dittman,False,"Investor Spotlight: Hayden Williams, BrandProject",2026-02-07T08:00:00.000Z,pain_language,requires_verification
"Of course, problem two, make sure like the emotional resonance, the clarity, the attention, all of those other things are coming to you","Retail buyer readiness, category fit, and expectations",Hannah Dittman,False,"Investor Spotlight: Hayden Williams, BrandProject",2026-02-07T08:00:00.000Z,pain_language,requires_verification
Daniel from Front Page Retail says it helps him understand brand challenges and their most pressing needs,Regional retail expansion and local-to-national growth,Daniel Scharff,False,"#171 - Buyer Spotlight: Taylor Cathala, Senior Spirits Category Merchant, Whole Foods Market",2024-11-19T08:00:00.000Z,pain_language,requires_verification
"Like, if it's zero sales every two months and it's like, that's a problem",Retailer and distributor onboarding and category management,Taylor Cathala,False,"#171 - Buyer Spotlight: Taylor Cathala, Senior Spirits Category Merchant, Whole Foods Market",2024-11-19T08:00:00.000Z,pain_language,requires_verification
"I know it can be a little, kind of hard to do on Zoom","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,"#166 - CPG Trade Media: Elizabeth Crawford, Brooke Just, and Adrianne DeLuca",2024-10-22T07:00:00.000Z,pain_language,requires_verification
"So yeah, I don't think we had a lot of headway there and I think that's a challenge for a lot of brands","Co-manufacturer selection, scale-up, process control, and IP",Jenna,False,#121 How to Launch in Foodservice with Sales Pro Jenna Cameron Part 1,2024-01-02T08:00:00.000Z,pain_language,requires_verification
"Tiered question, because I think people understand, hey, depending on where your warehouse is, if you have to deliver across the country, that can get very expensive",Regional retail expansion and local-to-national growth,Daniel Scharf,False,#121 How to Launch in Foodservice with Sales Pro Jenna Cameron Part 1,2024-01-02T08:00:00.000Z,pain_language,requires_verification
And where we see the future of innovation for our packaging developments is very much looking at consumer pain points,Sustainable packaging materials and tradeoffs,Zoe Levin,False,Founder Feature: Zoe Levin of Bim Bam Boo,2025-03-21T07:00:00.000Z,pain_language,requires_verification
We got burned from that pretty bad,Sustainable packaging materials and tradeoffs,Zoe Levin,False,Founder Feature: Zoe Levin of Bim Bam Boo,2025-03-21T07:00:00.000Z,pain_language,requires_verification
Part of our formulation is really difficult to make,"Co-manufacturer selection, scale-up, process control, and IP",Daniel Scharff,False,Founder Feature: Charlie Gentry of TruJoy,2024-10-25T07:00:00.000Z,pain_language,requires_verification
I was going to ask about that in terms of also just some of the challenges of cold chain logistics when you are also living in a very hot state,Regional retail expansion and local-to-national growth,Charlie Gentry,False,Founder Feature: Charlie Gentry of TruJoy,2024-10-25T07:00:00.000Z,pain_language,requires_verification
"We've had a lucky start, but we still had challenges",Regional retail expansion and local-to-national growth,Daniel Scharff,False,Founder Feature: Charlie Gentry of TruJoy,2024-10-25T07:00:00.000Z,pain_language,requires_verification
So that's what makes it so difficult,Retailer and distributor onboarding and category management,Rich Gilmore,False,"#138 Buyer Spotlight: Rich Gillmore, Gelson's",2024-04-16T07:00:00.000Z,pain_language,requires_verification
You can stand there in front of 200 different varieties of energy drinks and it gets overwhelming,Regional retail expansion and local-to-national growth,Rich Gilmore,False,"#138 Buyer Spotlight: Rich Gillmore, Gelson's",2024-04-16T07:00:00.000Z,pain_language,requires_verification
"And yeah, we're talking to kind of Costco broker","Wholesale expansion, buyer relationships, and in-store growth",Jia Liao,False,"Founder Feature: Jia Liao, Hotpot Queen",2024-05-31T07:00:00.000Z,pain_language,requires_verification
Then all of a sudden you have a very big problem,"Co-manufacturer and distributor contracts, liability, and operational risk",Ryan Hall,False,#243 - Building Your Team Legal Considerations with Giannuzzi Lewendon,2026-04-07T07:00:00.000Z,pain_language,requires_verification
"Yeah, so those are kind of some of the problems that you'll typically run into","Co-manufacturer and distributor contracts, liability, and operational risk",Ryan Hall,False,#243 - Building Your Team Legal Considerations with Giannuzzi Lewendon,2026-04-07T07:00:00.000Z,pain_language,requires_verification
"It's so hard to think about contemplating all of that, like, okay, I'm hiring this person","Co-manufacturer and distributor contracts, liability, and operational risk",Daniel Scharff,False,#243 - Building Your Team Legal Considerations with Giannuzzi Lewendon,2026-04-07T07:00:00.000Z,pain_language,requires_verification
"You give people a lot of leverage to be able to potentially create problems if they know, hey, the company's about to sell and if I create some problems, maybe they're going to be very incentivized to, like, pay me something in order to sign this","Co-manufacturer and distributor contracts, liability, and operational risk",Ryan Hall,False,#243 - Building Your Team Legal Considerations with Giannuzzi Lewendon,2026-04-07T07:00:00.000Z,pain_language,requires_verification
"And what has been a challenge for you so far in this journey, you're very new into the journey","Retail buyer readiness, category fit, and expectations",Caitlin Bricker,False,Founder Feature: Maria of The Purple Drop,2026-04-24T07:00:00.000Z,pain_language,requires_verification
"And then eventually I ran across problems in the emerging sector, which was where I could be of the most value, but I ran into problems that were beyond the scope of what I could physically handle myse","Co-manufacturer and distributor contracts, liability, and operational risk",Jamie Valenti Jordan,False,"#133 How to Make and Scale Your Product with Jamie Valenti-Jordan, Catapult Commercialization Services Part 1",2024-03-19T07:00:00.000Z,pain_language,requires_verification
