topic,agency_parent_theme,host_mentions,guest_mentions,host_strong,guest_strong,guest_share_pct
"Retail buyer readiness, category fit, and expectations",Retail and distribution operations,1322,2363,813,1426,64.1
"Wholesale expansion, buyer relationships, and in-store growth",Retail and distribution operations,1108,1993,636,1150,64.3
"In-store demos, promotions, and retail velocity",Retail and distribution operations,1023,1552,600,864,60.3
"Amazon, DTC, and retail channel economics",Channel strategy,708,1383,440,852,66.1
Retailer and distributor onboarding and category management,Retail and distribution operations,796,1278,437,722,61.6
Regional retail expansion and local-to-national growth,Retail and distribution operations,767,1190,440,680,60.8
"Co-manufacturer selection, scale-up, process control, and IP",Manufacturing and supplier management,596,1277,329,671,68.2
Broker selection and channel-sales management,Retail and distribution operations,552,996,254,441,64.3
Product development and commercialization support,Manufacturing and supplier management,368,855,148,406,69.9
"Co-manufacturer and distributor contracts, liability, and operational risk",Manufacturing and supplier management,348,756,137,315,68.5
Inventory planning and demand forecasting,Financial and operational control,292,681,136,296,70.0
"Gross margin, unit economics, and financial discipline",Financial and operational control,288,668,120,299,69.9
Distributor and DSD contracts and channel execution,Retail and distribution operations,288,578,135,278,66.7
"Product, packaging, labeling, and certification requirements",Packaging and compliance,220,605,95,292,73.3
Sustainable packaging materials and tradeoffs,Packaging and compliance,218,558,91,242,71.9
AI-enabled CPG operations and decision support,Operational technology,128,275,37,87,68.2
EDI and retail order automation,Financial and operational control,71,114,34,44,61.6
